Aug. 25, 2011   13:07:17
Cyclic Voltammetry
File: lr200
Data Source:  Experiment
Instrument Model:  CHI760C
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.6
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 4
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Segment 1:
Ep = -0.195V
ip = -7.409e-7A
Ah = -5.488e-7C

Segment 2:
Ep = -0.105V
ip = 6.927e-7A
Ah = 5.472e-7C

Segment 3:
Ep = -0.195V
ip = -7.395e-7A
Ah = -5.529e-7C

Segment 4:
Ep = -0.105V
ip = 6.934e-7A
Ah = 5.467e-7C

Current 2:

Segment 1:
Ep = -0.195V
ip = -7.853e-7A
Ah = -6.120e-7C

Segment 2:
Ep = -0.105V
ip = 6.882e-7A
Ah = 5.342e-7C

Segment 3:
Ep = -0.195V
ip = -7.570e-7A
Ah = -5.989e-7C

Segment 4:
Ep = -0.105V
ip = 6.892e-7A
Ah = 5.388e-7C

Potential/V, i1/A, i2/A, Q1/C

Segment 1:
-0.495, -4.565e-7, -4.747e-7, -3.459e-6
-0.485, -4.529e-7, -4.720e-7, -3.504e-6
-0.475, -4.496e-7, -4.697e-7, -3.549e-6
-0.465, -4.466e-7, -4.677e-7, -3.594e-6
-0.455, -4.439e-7, -4.659e-7, -3.638e-6
-0.445, -4.414e-7, -4.640e-7, -3.682e-6
-0.435, -4.387e-7, -4.622e-7, -3.726e-6
-0.425, -4.362e-7, -4.604e-7, -3.770e-6
-0.415, -4.338e-7, -4.585e-7, -3.813e-6
-0.405, -4.313e-7, -4.566e-7, -3.856e-6
-0.395, -4.286e-7, -4.545e-7, -3.899e-6
-0.385, -4.260e-7, -4.522e-7, -3.942e-6
-0.375, -4.231e-7, -4.500e-7, -3.984e-6
-0.365, -4.203e-7, -4.477e-7, -4.026e-6
-0.355, -4.175e-7, -4.452e-7, -4.068e-6
-0.345, -4.146e-7, -4.426e-7, -4.109e-6
-0.335, -4.114e-7, -4.398e-7, -4.150e-6
-0.325, -4.081e-7, -4.370e-7, -4.191e-6
-0.315, -4.047e-7, -4.339e-7, -4.232e-6
-0.305, -4.008e-7, -4.304e-7, -4.272e-6
-0.295, -3.963e-7, -4.265e-7, -4.311e-6
-0.285, -3.910e-7, -4.216e-7, -4.350e-6
-0.275, -3.845e-7, -4.157e-7, -4.389e-6
-0.265, -3.764e-7, -4.083e-7, -4.427e-6
-0.255, -3.659e-7, -3.983e-7, -4.463e-6
-0.245, -3.521e-7, -3.852e-7, -4.498e-6
-0.235, -3.335e-7, -3.672e-7, -4.532e-6
-0.225, -3.086e-7, -3.428e-7, -4.563e-6
-0.215, -2.751e-7, -3.102e-7, -4.590e-6
-0.205, -2.312e-7, -2.674e-7, -4.613e-6
-0.195, -1.748e-7, -2.126e-7, -4.631e-6
-0.185, -1.058e-7, -1.457e-7, -4.641e-6
-0.175, -2.568e-8, -6.779e-8, -4.644e-6
-0.165, 6.075e-8, 1.571e-8, -4.638e-6
-0.155, 1.474e-7, 1.005e-7, -4.623e-6
-0.145, 2.254e-7, 1.775e-7, -4.600e-6
-0.135, 2.865e-7, 2.394e-7, -4.572e-6
-0.125, 3.277e-7, 2.825e-7, -4.539e-6
-0.115, 3.470e-7, 3.050e-7, -4.504e-6
-0.105, 3.481e-7, 3.097e-7, -4.469e-6
-0.095, 3.368e-7, 3.019e-7, -4.436e-6
-0.085, 3.180e-7, 2.867e-7, -4.404e-6
-0.075, 2.962e-7, 2.684e-7, -4.374e-6
-0.065, 2.739e-7, 2.493e-7, -4.347e-6
-0.055, 2.526e-7, 2.311e-7, -4.322e-6
-0.045, 2.334e-7, 2.147e-7, -4.298e-6
-0.035, 2.161e-7, 2.001e-7, -4.277e-6
-0.025, 2.009e-7, 1.872e-7, -4.257e-6
-0.015, 1.876e-7, 1.760e-7, -4.238e-6
-0.005, 1.759e-7, 1.661e-7, -4.220e-6
0.005, 1.656e-7, 1.575e-7, -4.204e-6
0.015, 1.566e-7, 1.498e-7, -4.188e-6
0.025, 1.485e-7, 1.430e-7, -4.173e-6
0.035, 1.414e-7, 1.369e-7, -4.159e-6
0.045, 1.350e-7, 1.315e-7, -4.146e-6
0.055, 1.293e-7, 1.265e-7, -4.133e-6
0.065, 1.241e-7, 1.220e-7, -4.120e-6
0.075, 1.195e-7, 1.180e-7, -4.108e-6
0.085, 1.151e-7, 1.142e-7, -4.097e-6
0.095, 1.113e-7, 1.108e-7, -4.086e-6
0.105, 1.077e-7, 1.076e-7, -4.075e-6
0.115, 1.045e-7, 1.046e-7, -4.064e-6
0.125, 1.015e-7, 1.019e-7, -4.054e-6
0.135, 9.872e-8, 9.937e-8, -4.044e-6
0.145, 9.618e-8, 9.704e-8, -4.035e-6
0.155, 9.388e-8, 9.484e-8, -4.025e-6
0.165, 9.170e-8, 9.279e-8, -4.016e-6
0.175, 8.970e-8, 9.075e-8, -4.007e-6
0.185, 8.791e-8, 8.889e-8, -3.999e-6
0.195, 8.606e-8, 8.709e-8, -3.990e-6

Segment 3:
0.195, 8.013e-8, 7.884e-8, -3.982e-6
0.185, 7.449e-8, 7.273e-8, -3.974e-6
0.175, 7.048e-8, 6.806e-8, -3.967e-6
0.165, 6.711e-8, 6.413e-8, -3.961e-6
0.155, 6.415e-8, 6.063e-8, -3.954e-6
0.145, 6.148e-8, 5.749e-8, -3.948e-6
0.135, 5.907e-8, 5.462e-8, -3.942e-6
0.125, 5.676e-8, 5.186e-8, -3.937e-6
0.115, 5.470e-8, 4.926e-8, -3.931e-6
0.105, 5.269e-8, 4.678e-8, -3.926e-6
0.095, 5.077e-8, 4.436e-8, -3.921e-6
0.085, 4.904e-8, 4.197e-8, -3.916e-6
0.075, 4.722e-8, 3.961e-8, -3.911e-6
0.065, 4.548e-8, 3.717e-8, -3.907e-6
0.055, 4.378e-8, 3.473e-8, -3.902e-6
0.045, 4.199e-8, 3.207e-8, -3.898e-6
0.035, 4.020e-8, 2.920e-8, -3.894e-6
0.025, 3.821e-8, 2.601e-8, -3.890e-6
0.015, 3.601e-8, 2.237e-8, -3.887e-6
0.005, 3.349e-8, 1.808e-8, -3.883e-6
-0.005, 3.042e-8, 1.295e-8, -3.880e-6
-0.015, 2.661e-8, 6.680e-9, -3.877e-6
-0.025, 2.172e-8, -1.169e-9, -3.875e-6
-0.035, 1.518e-8, -1.113e-8, -3.874e-6
-0.045, 6.310e-9, -2.373e-8, -3.873e-6
-0.055, -5.847e-9, -4.013e-8, -3.874e-6
-0.065, -2.239e-8, -6.153e-8, -3.876e-6
-0.075, -4.488e-8, -8.965e-8, -3.880e-6
-0.085, -7.592e-8, -1.261e-7, -3.888e-6
-0.095, -1.173e-7, -1.728e-7, -3.900e-6
-0.105, -1.711e-7, -2.312e-7, -3.917e-6
-0.115, -2.383e-7, -3.018e-7, -3.941e-6
-0.125, -3.179e-7, -3.837e-7, -3.973e-6
-0.135, -4.065e-7, -4.723e-7, -4.013e-6
-0.145, -4.973e-7, -5.616e-7, -4.063e-6
-0.155, -5.829e-7, -6.446e-7, -4.121e-6
-0.165, -6.537e-7, -7.123e-7, -4.187e-6
-0.175, -7.045e-7, -7.597e-7, -4.257e-6
-0.185, -7.328e-7, -7.856e-7, -4.330e-6
-0.195, -7.410e-7, -7.918e-7, -4.404e-6
-0.205, -7.341e-7, -7.835e-7, -4.478e-6
-0.215, -7.184e-7, -7.665e-7, -4.550e-6
-0.225, -6.984e-7, -7.454e-7, -4.619e-6
-0.235, -6.775e-7, -7.235e-7, -4.687e-6
-0.245, -6.571e-7, -7.023e-7, -4.753e-6
-0.255, -6.387e-7, -6.828e-7, -4.817e-6
-0.265, -6.224e-7, -6.652e-7, -4.879e-6
-0.275, -6.082e-7, -6.493e-7, -4.940e-6
-0.285, -5.958e-7, -6.353e-7, -4.999e-6
-0.295, -5.849e-7, -6.228e-7, -5.058e-6
-0.305, -5.756e-7, -6.118e-7, -5.115e-6
-0.315, -5.673e-7, -6.017e-7, -5.172e-6
-0.325, -5.601e-7, -5.928e-7, -5.228e-6
-0.335, -5.539e-7, -5.846e-7, -5.284e-6
-0.345, -5.483e-7, -5.771e-7, -5.338e-6
-0.355, -5.433e-7, -5.703e-7, -5.393e-6
-0.365, -5.386e-7, -5.638e-7, -5.447e-6
-0.375, -5.346e-7, -5.579e-7, -5.500e-6
-0.385, -5.307e-7, -5.523e-7, -5.553e-6
-0.395, -5.274e-7, -5.472e-7, -5.606e-6
-0.405, -5.243e-7, -5.425e-7, -5.658e-6
-0.415, -5.214e-7, -5.384e-7, -5.710e-6
-0.425, -5.189e-7, -5.346e-7, -5.762e-6
-0.435, -5.166e-7, -5.312e-7, -5.814e-6
-0.445, -5.147e-7, -5.281e-7, -5.866e-6
-0.455, -5.130e-7, -5.256e-7, -5.917e-6
-0.465, -5.116e-7, -5.233e-7, -5.968e-6
-0.475, -5.108e-7, -5.214e-7, -6.019e-6
-0.485, -5.101e-7, -5.201e-7, -6.070e-6
-0.495, -5.096e-7, -5.191e-7, -6.121e-6
-0.505, -5.093e-7, -5.184e-7, -6.172e-6
-0.515, -5.088e-7, -5.178e-7, -6.223e-6
-0.525, -5.081e-7, -5.170e-7, -6.274e-6
-0.535, -5.071e-7, -5.161e-7, -6.324e-6
-0.545, -5.058e-7, -5.149e-7, -6.375e-6
-0.555, -5.044e-7, -5.135e-7, -6.425e-6
-0.565, -5.027e-7, -5.121e-7, -6.476e-6
-0.575, -5.011e-7, -5.105e-7, -6.526e-6
-0.585, -4.995e-7, -5.091e-7, -6.576e-6
-0.595, -4.980e-7, -5.080e-7, -6.625e-6

Segment 4:
-0.595, -4.893e-7, -4.934e-7, -6.674e-6
-0.585, -4.806e-7, -4.847e-7, -6.722e-6
-0.575, -4.744e-7, -4.787e-7, -6.770e-6
-0.565, -4.690e-7, -4.735e-7, -6.817e-6
-0.555, -4.639e-7, -4.689e-7, -6.863e-6
-0.545, -4.589e-7, -4.646e-7, -6.909e-6
-0.535, -4.542e-7, -4.604e-7, -6.955e-6
-0.525, -4.495e-7, -4.566e-7, -6.999e-6
-0.515, -4.451e-7, -4.530e-7, -7.044e-6
-0.505, -4.408e-7, -4.498e-7, -7.088e-6
-0.495, -4.369e-7, -4.471e-7, -7.132e-6
-0.485, -4.334e-7, -4.447e-7, -7.175e-6
-0.475, -4.304e-7, -4.428e-7, -7.218e-6
-0.465, -4.276e-7, -4.412e-7, -7.261e-6
-0.455, -4.251e-7, -4.395e-7, -7.303e-6
-0.445, -4.229e-7, -4.380e-7, -7.346e-6
-0.435, -4.206e-7, -4.367e-7, -7.388e-6
-0.425, -4.184e-7, -4.352e-7, -7.430e-6
-0.415, -4.162e-7, -4.337e-7, -7.471e-6
-0.405, -4.138e-7, -4.322e-7, -7.513e-6
-0.395, -4.115e-7, -4.304e-7, -7.554e-6
-0.385, -4.091e-7, -4.285e-7, -7.595e-6
-0.375, -4.066e-7, -4.267e-7, -7.635e-6
-0.365, -4.041e-7, -4.246e-7, -7.676e-6
-0.355, -4.015e-7, -4.225e-7, -7.716e-6
-0.345, -3.987e-7, -4.203e-7, -7.756e-6
-0.335, -3.959e-7, -4.179e-7, -7.795e-6
-0.325, -3.929e-7, -4.154e-7, -7.835e-6
-0.315, -3.897e-7, -4.125e-7, -7.874e-6
-0.305, -3.862e-7, -4.094e-7, -7.912e-6
-0.295, -3.820e-7, -4.055e-7, -7.950e-6
-0.285, -3.770e-7, -4.010e-7, -7.988e-6
-0.275, -3.709e-7, -3.953e-7, -8.025e-6
-0.265, -3.632e-7, -3.882e-7, -8.062e-6
-0.255, -3.531e-7, -3.784e-7, -8.097e-6
-0.245, -3.396e-7, -3.656e-7, -8.131e-6
-0.235, -3.214e-7, -3.478e-7, -8.163e-6
-0.225, -2.966e-7, -3.238e-7, -8.193e-6
-0.215, -2.634e-7, -2.915e-7, -8.219e-6
-0.205, -2.197e-7, -2.490e-7, -8.241e-6
-0.195, -1.635e-7, -1.944e-7, -8.257e-6
-0.185, -9.471e-8, -1.277e-7, -8.267e-6
-0.175, -1.469e-8, -5.036e-8, -8.268e-6
-0.165, 7.198e-8, 3.294e-8, -8.261e-6
-0.155, 1.587e-7, 1.171e-7, -8.245e-6
-0.145, 2.366e-7, 1.932e-7, -8.221e-6
-0.135, 2.981e-7, 2.545e-7, -8.192e-6
-0.125, 3.386e-7, 2.963e-7, -8.158e-6
-0.115, 3.575e-7, 3.176e-7, -8.122e-6
-0.105, 3.585e-7, 3.216e-7, -8.086e-6
-0.095, 3.467e-7, 3.130e-7, -8.052e-6
-0.085, 3.276e-7, 2.970e-7, -8.019e-6
-0.075, 3.054e-7, 2.779e-7, -7.988e-6
-0.065, 2.828e-7, 2.582e-7, -7.960e-6
-0.055, 2.614e-7, 2.395e-7, -7.934e-6
-0.045, 2.419e-7, 2.225e-7, -7.910e-6
-0.035, 2.243e-7, 2.074e-7, -7.887e-6
-0.025, 2.090e-7, 1.941e-7, -7.866e-6
-0.015, 1.956e-7, 1.825e-7, -7.847e-6
-0.005, 1.838e-7, 1.724e-7, -7.828e-6
0.005, 1.735e-7, 1.635e-7, -7.811e-6
0.015, 1.644e-7, 1.557e-7, -7.795e-6
0.025, 1.563e-7, 1.487e-7, -7.779e-6
0.035, 1.492e-7, 1.426e-7, -7.764e-6
0.045, 1.429e-7, 1.371e-7, -7.750e-6
0.055, 1.371e-7, 1.322e-7, -7.736e-6
0.065, 1.320e-7, 1.277e-7, -7.723e-6
0.075, 1.274e-7, 1.237e-7, -7.710e-6
0.085, 1.232e-7, 1.200e-7, -7.698e-6
0.095, 1.195e-7, 1.167e-7, -7.686e-6
0.105, 1.160e-7, 1.136e-7, -7.674e-6
0.115, 1.129e-7, 1.109e-7, -7.663e-6
0.125, 1.101e-7, 1.083e-7, -7.652e-6
0.135, 1.075e-7, 1.060e-7, -7.641e-6
0.145, 1.051e-7, 1.038e-7, -7.631e-6
0.155, 1.030e-7, 1.018e-7, -7.620e-6
0.165, 1.010e-7, 9.982e-8, -7.610e-6
0.175, 9.919e-8, 9.807e-8, -7.600e-6
0.185, 9.750e-8, 9.636e-8, -7.591e-6
0.195, 9.595e-8, 9.475e-8, -7.581e-6
